[2017/6/7 15:10:45]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:46]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:47]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:48]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:49]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:50]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:52]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:53]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:54]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:55]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:56]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:57]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:58]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:59]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:00]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:01]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:02]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:03]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:04]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:05]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:06]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:07]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:08]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:09]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:10]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:11]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:12]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:13]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:14]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:15]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:16]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:17]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:18]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:20]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:21]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:22]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:23]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:24]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:25]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:26]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:27]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:28]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:29]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:30]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:31]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:32]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:33]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:34]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:35]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:36]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:37]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:38]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:39]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:40]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:41]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:42]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:43]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:11:44]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
